Position;step;solution;Set;raw;diff;logdiff;abwpro;logabwpro;diffsq;logdiffsq
Classification (Gloves);Singeing;DS0200;S1;0.02425;0.002925;0.04945781;0.107635695;-0.968043682;8.56E-06;0.002446075
Classification (Railing);Singeing;DS0200;S1;0.079125;0.004425;0.023632731;0.052962298;-1.276033179;1.96E-05;0.000558506
Cooling chamber (Wall_A);Singeing;DS0200;S1;0.001375;0.001225;0.962211439;8.166666667;0.91204483;1.50E-06;0.925850854
Evisceration (Aprons);Singeing;DS0200;S1;0.009625;0.001225;0.052029;0.112903226;-0.947293649;1.50E-06;0.002707017
Evisceration (Gloves);Singeing;DS0200;S1;0.00925;0.000625;0.028395372;0.063291139;-1.198657087;3.91E-07;0.000806297
Evisceration (Knifes);Singeing;DS0200;S1;0.004375;0.000675;0.062313321;0.133663366;-0.873987605;4.56E-07;0.00388295
Lock (Hands_A);Singeing;DS0200;S1;0.006125;0.00295;0.285362363;0.929133858;-0.031921714;8.70E-06;0.081431678
Lock (Shoes_A);Singeing;DS0200;S1;0.010875;0.003475;0.167197546;0.469594595;-0.328276911;1.21E-05;0.027955019
Polishing tunnel (Nozzles);Singeing;DS0200;S1;0.01125;0.004075;0.195330617;0.567944251;-0.245694292;1.66E-05;0.03815405
Polishing tunnel (Water);Singeing;DS0200;S1;0.258375;0.139425;0.187414289;0.350490196;-0.455324126;0.019439331;0.035124116
Polishing tunnel (Whips);Singeing;DS0200;S1;0.021;0.000925;0.019563741;0.04607721;-1.336513821;8.56E-07;0.00038274
Splitting saw;Singeing;DS0200;S1;0.00825;0.001275;0.072909737;0.182795699;-0.738034027;1.63E-06;0.00531583
Sticking;Singeing;DS0200;S1;0.00575;0.002525;0.158100158;0.305135952;-0.51550662;6.38E-06;0.02499566
Truck (Gloves);Singeing;DS0200;S1;0.044625;0.0116;0.100351235;0.206313917;-0.685471475;0.00013456;0.01007037
Truck (Wall);Singeing;DS0200;S1;0.007;0.0029;0.232314183;0.707317073;-0.150385859;0.00000841;0.05396988
Unknown;Singeing;DS0200;S1;0.498125;0.148125;0.153270294;0.423214286;-0.373439681;0.021941016;0.023491783
